广东👉港澳台,#genre#
佛山高明(触电),http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水(触电),http://php.jdshipin.com:8880/fstv.php?id=fsss
肇庆综合(触电),http://php.jdshipin.com:8880/chudian.php?id=zqzh
肇庆公共(触电),http://php.jdshipin.com:8880/chudian.php?id=zqgg
肇庆怀集综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=hjzh
肇庆广宁综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=gnzh
惠东综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=hdzh
惠阳电视台(触电)1,http://php.jdshipin.com:8880/chudian.php?id=hytv
廉江综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=ljzh
湛江吴川综合(触电),http://php.jdshipin.com:8880/chudian.php?id=wczh
湛江遂溪台(触电)1,http://php.jdshipin.com:8880/chudian.php?id=sxtv
韶关乐昌电视台(触电)1,http://php.jdshipin.com:8880/chudian.php?id=lctv
茂名信宜综合(触电),http://php.jdshipin.com:8880/chudian.php?id=xyzh
茂名化州综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=hzzh
江门台山台(触电)1,http://php.jdshipin.com:8880/chudian.php?id=tstv
江门开平综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=kpzh
江门开平生活(触电)1,http://php.jdshipin.com:8880/chudian.php?id=kpsh
江门新会综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=xhzh
江门鹤山综合(触电)1,http://php.jdshipin.com:8880/chudian.php?id=hszh


广州综合1,http://www.238311.cn:555/m3u8.php?/GZTV/zhonghe
广州综合2,http://r.jdshipin.com/iR6Gq
广州新闻,http://www.238311.cn:555/m3u8.php?/GZTV/xinwen
广州法治,http://www.238311.cn:555/m3u8.php?/GZTV/fazhi
广州竞赛,http://www.238311.cn:555/m3u8.php?/GZTV/jingsai
广州影视1,http://www.238311.cn:555/m3u8.php?/GZTV/yingshi
广州影视2,http://r.jdshipin.com/TcKr2
广州南国都市1,http://www.238311.cn:555/m3u8.php?/GZTV/shenghuo
广州南国都市2,http://r.jdshipin.com/nWaZO
GRTN文化频道1,https://glive.grtn.cn/live/wenhua_test0203.m3u8
GRTN文化频道2,http://glive.grtn.cn/live/wenhua_test0203.m3u8
GRTN健康频道,http://glive.grtn.cn/live/health.m3u8
GRTN生活频道,http://glive.grtn.cn/live/life.m3u8
广州番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
深圳都市,http://livepull-tcyzb.sztv.com.cn/live/dushi01.m3u8
深圳龙岗,http://liveplay.sznews.com/66_showto_live/2647.m3u8
阳江1,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/playlist.m3u8
阳江2,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/chunklist_b3628000.m3u8
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
云浮综合,http://livestream.oeeee.com/slive/17806.m3u8
云浮文旅,http://livestream.oeeee.com/slive/17807.m3u8
清远文旅生活,https://huodong.zuiqingyuan.com/dianshi/newwenlvshenghuo.m3u8?token=B86ouFGGfrmwNY9CDr8t932


凤凰中文1,http://[2409:8087:2001:20:2800:0:df6e:eb24]/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰中文2,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯1,http://[2409:8087:2001:20:2800:0:df6e:eb27]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰资讯2,http://[2409:8087:2001:20:2800:0:df6e:eb27]/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
翡翠台1,http://r.jdshipin.com/qrfbg
翡翠台2,http://r.jdshipin.com/qClQf
翡翠台3,http://r.jdshipin.com/GeWKr?id=fct406
翡翠台4,http://r.jdshipin.com/GeWKr?id=fct720
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港32台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
香港卫视文旅,http://107.151.203.111:2209/135/hk.php?id=hk6
香港电影,http://epg.112114.xyz/huya/11602058
香港8K,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tW1782571424_-1576923679/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u
澳视澳门1,http://r.jdshipin.com/n2YZI
澳视澳门2,http://61.244.22.5/ch1/ch1.live/index.m3u8
澳亚卫视1,http://120.236.57.77:9901/tsfile/live/1102_1.m3u8
澳亚卫视2,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳视卫星,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳门资讯,http://61.244.22.5/ch5/info_ch5.live/index.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8

广东谷豆1👉,#genre#
梅州1,http://b.dszb.cc/gd.php?id=mz1
梅州2,http://b.dszb.cc/gd.php?id=mz2
梅州导视,http://b.dszb.cc/gd.php?id=mzds
梅县综合,http://b.dszb.cc/gd.php?id=mxzh
平远-1,http://b.dszb.cc/gd.php?id=py1
五华综合,http://b.dszb.cc/gd.php?id=whzh
兴宁综合,http://b.dszb.cc/gd.php?id=xnzh
潮州综合,http://b.dszb.cc/gd.php?id=czzh
潮州民生,http://b.dszb.cc/gd.php?id=czms
潮安综合,http://b.dszb.cc/gd.php?id=cazh
饶平综合HD,http://b.dszb.cc/gd.php?id=rpzh
汕头新闻综合,http://b.dszb.cc/gd.php?id=stxwzh
汕头新闻综合2,http://b.dszb.cc/gd.php?id=stxwzh2
汕头经济生活,http://b.dszb.cc/gd.php?id=stjjsh
汕头经济生活2,http://b.dszb.cc/gd.php?id=stjjsh2
汕头文旅体育,http://b.dszb.cc/gd.php?id=stwlty
汕头文旅体育2,http://b.dszb.cc/gd.php?id=stwlty2
揭阳综合,http://b.dszb.cc/gd.php?id=jyzh
揭阳综合HD,http://b.dszb.cc/gd.php?id=jyzhhd
揭阳生活,http://b.dszb.cc/gd.php?id=jysh
揭阳生活HD,http://b.dszb.cc/gd.php?id=jyshhd
揭东综合,http://b.dszb.cc/gd.php?id=jdzh
广东综艺4K,http://b.dszb.cc/gd.php?id=gdzy4k
广东珠江,http://b.dszb.cc/gd.php?id=gdzj
广东民生,http://b.dszb.cc/gd.php?id=gdms
广东新闻,http://b.dszb.cc/gd.php?id=gdxw
广东体育,http://b.dszb.cc/gd.php?id=gdty
广东体育HD,http://b.dszb.cc/gd.php?id=gdtyhd
广东经济科教,http://b.dszb.cc/gd.php?id=gdjjkj
广东经济科教HD,http://b.dszb.cc/gd.php?id=gdjjkjhd
广东影视,http://b.dszb.cc/gd.php?id=gdys
广东少儿,http://b.dszb.cc/gd.php?id=gdse
岭南戏曲,http://b.dszb.cc/gd.php?id=lnxq
嘉佳卡通,http://b.dszb.cc/gd.php?id=jjkt
广东导视,http://b.dszb.cc/gd.php?id=gdds
广州综合,http://b.dszb.cc/gd.php?id=gzzh
广州新闻,http://b.dszb.cc/gd.php?id=gzxw
广州法治,http://b.dszb.cc/gd.php?id=gzfz
广州竞赛,http://b.dszb.cc/gd.php?id=gzjs
广州影视,http://b.dszb.cc/gd.php?id=gzys
增城电视台,http://b.dszb.cc/gd.php?id=zctv
佛山综合,http://b.dszb.cc/gd.php?id=fszh
佛山综合HD,http://b.dszb.cc/gd.php?id=fszhhd
佛山公共,http://b.dszb.cc/gd.php?id=fsgg
佛山公共HD,http://b.dszb.cc/gd.php?id=fsgghd
佛山影视,http://b.dszb.cc/gd.php?id=fsys
顺德台,http://b.dszb.cc/gd.php?id=fssd
南海台,http://b.dszb.cc/gd.php?id=fsnh
东莞新闻综合,http://b.dszb.cc/gd.php?id=dg1
东莞新闻综合HD,http://b.dszb.cc/gd.php?id=dg1hd
东莞生活资讯,http://b.dszb.cc/gd.php?id=dg2
东莞生活资讯,http://b.dszb.cc/gd.php?id=dg2hd
河源综合,http://b.dszb.cc/gd.php?id=hy1
河源综合HD,http://b.dszb.cc/gd.php?id=hy1hd
河源公共,http://b.dszb.cc/gd.php?id=hy2
惠州一套,http://b.dszb.cc/gd.php?id=hz1
惠州一套HD,http://b.dszb.cc/gd.php?id=hz1hd
惠州二套,http://b.dszb.cc/gd.php?id=hz2
惠州二套HDHD,http://b.dszb.cc/gd.php?id=hz2hd
博罗综合,http://b.dszb.cc/gd.php?id=blzh
博罗综合,http://b.dszb.cc/gd.php?id=blzhb
博罗综合HD,http://b.dszb.cc/gd.php?id=blzhhd
惠东综合HD,http://b.dszb.cc/gd.php?id=hdzh
惠阳综合,http://b.dszb.cc/gd.php?id=hyzh
江门综合,http://b.dszb.cc/gd.php?id=jmzh
江门综合HD,http://b.dszb.cc/gd.php?id=jmzhhd
江门侨乡生活,http://b.dszb.cc/gd.php?id=jmqxsh
鹤山综合,http://b.dszb.cc/gd.php?id=hszh
新会综合,http://b.dszb.cc/gd.php?id=xhzh
茂名综合,http://b.dszb.cc/gd.php?id=mmzh
茂名文化生活,http://b.dszb.cc/gd.php?id=mmwhsh
茂名文化生活2,http://b.dszb.cc/gd.php?id=mmwhsh2
化州综合,http://b.dszb.cc/gd.php?id=hzzh
信宜综合,http://b.dszb.cc/gd.php?id=xyzh
清远新闻综合,http://b.dszb.cc/gd.php?id=qyxwzh
清远新闻综合HD,http://b.dszb.cc/gd.php?id=qyxwzhhd
清远文旅生活,http://b.dszb.cc/gd.php?id=qywlsh
清远文旅生活HD,http://b.dszb.cc/gd.php?id=qywlshhd
佛冈综合,http://b.dszb.cc/gd.php?id=fgzh
英德综合,http://b.dszb.cc/gd.php?id=ydzh
汕尾新闻综合,http://b.dszb.cc/gd.php?id=swxwzh
汕尾文化生活,http://b.dszb.cc/gd.php?id=swwhsh
海丰综合,http://b.dszb.cc/gd.php?id=hfzh
韶关综合,http://b.dszb.cc/gd.php?id=sgzh
韶关绿色生活,http://b.dszb.cc/gd.php?id=sglssh
始兴综合,http://b.dszb.cc/gd.php?id=sgsx
云浮综合,http://b.dszb.cc/gd.php?id=yfzh
云浮文旅,http://b.dszb.cc/gd.php?id=yfwl
珠海一套,http://b.dszb.cc/gd.php?id=zh1
珠海一套HD,http://b.dszb.cc/gd.php?id=zh1hd
珠海二套,http://b.dszb.cc/gd.php?id=zh2
珠海二套HD,http://b.dszb.cc/gd.php?id=zh2hd
斗门融媒,http://b.dszb.cc/gd.php?id=dmrm
湛江综合,http://b.dszb.cc/gd.php?id=zjzh
湛江公共,http://b.dszb.cc/gd.php?id=zjgg
廉江综合,http://b.dszb.cc/gd.php?id=ljzh
肇庆综合,http://b.dszb.cc/gd.php?id=zqzh
肇庆生活服务,http://b.dszb.cc/gd.php?id=zqshfw
怀集综合,http://b.dszb.cc/gd.php?id=hjzh
中山综合,http://b.dszb.cc/gd.php?id=zszh
中山综合HD,http://b.dszb.cc/gd.php?id=zszhhd
中山香山文化,http://b.dszb.cc/gd.php?id=zsxswh
中山香山文化HD,http://b.dszb.cc/gd.php?id=zsxswhhd
中山教育,http://b.dszb.cc/gd.php?id=zsjy
明珠台HD,http://b.dszb.cc/gd.php?id=mzthd
澳视澳门,http://b.dszb.cc/gd.php?id=asam
星空卫视,http://b.dszb.cc/gd.php?id=xkws
澳亚卫视,http://b.dszb.cc/gd.php?id=ayws
CHC高清电影,http://b.dszb.cc/gd.php?id=chcgq
CHC家庭影院,http://b.dszb.cc/gd.php?id=chcjt
CHC动作电影,http://b.dszb.cc/gd.php?id=chcdz
CCTV1综合HD,http://b.dszb.cc/gd.php?id=cctv1
CCTV1综合HD,http://b.dszb.cc/gd.php?id=cctv1hd
CCTV2财经HD,http://b.dszb.cc/gd.php?id=cctv2
CCTV2财经HD,http://b.dszb.cc/gd.php?id=cctv2hd
CCTV3综艺HD,http://b.dszb.cc/gd.php?id=cctv3
CCTV3综艺HD,http://b.dszb.cc/gd.php?id=cctv3hd
CCTV4中文国际,http://b.dszb.cc/gd.php?id=cctv4
CCTV4国际HD,http://b.dszb.cc/gd.php?id=cctv4hd
CCTV5体育HD,http://b.dszb.cc/gd.php?id=cctv5
CCTV5体育HD,http://b.dszb.cc/gd.php?id=cctv5hd
CCTV5+体育赛事HD,http://b.dszb.cc/gd.php?id=cctv5p
CCTV5+体育赛事HD,http://b.dszb.cc/gd.php?id=cctv5phd
CCTV6电影HD,http://b.dszb.cc/gd.php?id=cctv6
CCTV6电影HD,http://b.dszb.cc/gd.php?id=cctv6hd
CCTV7国防军事HD,http://b.dszb.cc/gd.php?id=cctv7
CCTV7国防军事HD,http://b.dszb.cc/gd.php?id=cctv7hd
CCTV8电视剧HD,http://b.dszb.cc/gd.php?id=cctv8
CCTV8电视剧HD,http://b.dszb.cc/gd.php?id=cctv8hd
CCTV9纪录HD,http://b.dszb.cc/gd.php?id=cctv9
CCTV9纪录HD,http://b.dszb.cc/gd.php?id=cctv9hd
CCTV10科教HD,http://b.dszb.cc/gd.php?id=cctv10
CCTV10科教HD,http://b.dszb.cc/gd.php?id=cctv10hd
CCTV11戏曲,http://b.dszb.cc/gd.php?id=cctv11
CCTV11戏曲HD,http://b.dszb.cc/gd.php?id=cctv11hd
CCTV12社会HD,http://b.dszb.cc/gd.php?id=cctv12
CCTV12社会HD,http://b.dszb.cc/gd.php?id=cctv12hd
CCTV13新闻,http://b.dszb.cc/gd.php?id=cctv13
CCTV13新闻HD,http://b.dszb.cc/gd.php?id=cctv13hd
CCTV14少儿HD,http://b.dszb.cc/gd.php?id=cctv14
CCTV14少儿HD,http://b.dszb.cc/gd.php?id=cctv14hd
CCTV15音乐,http://b.dszb.cc/gd.php?id=cctv15
CTV15音乐HD,http://b.dszb.cc/gd.php?id=cctv15hd
CCTV16奥林匹克,http://b.dszb.cc/gd.php?id=cctv16
CCTV16奥林匹克4K,http://b.dszb.cc/gd.php?id=cctv164k
CCTV17农村农业,http://b.dszb.cc/gd.php?id=cctv17
CCTV117农村农业HD,http://b.dszb.cc/gd.php?id=cctv17hd
CCTV4K超高清,http://b.dszb.cc/gd.php?id=cctv4k
怀旧剧场,http://b.dszb.cc/gd.php?id=hjjc
风云剧场,http://b.dszb.cc/gd.php?id=fyjc
风云音乐,http://b.dszb.cc/gd.php?id=fyyy
风云足球,http://b.dszb.cc/gd.php?id=fyzq
CGTN,http://b.dszb.cc/gd.php?id=cgtn
书画,http://b.dszb.cc/gd.php?id=sh
中国天气,http://b.dszb.cc/gd.php?id=zgtq
CETV1,http://b.dszb.cc/gd.php?id=cetv1
CETV1HD,http://b.dszb.cc/gd.php?id=cetv1hd
CETV4,http://b.dszb.cc/gd.php?id=cetv4
北京卫视,http://b.dszb.cc/gd.php?id=bjws
北京卫视HD,http://b.dszb.cc/gd.php?id=bjhd
东方卫视,http://b.dszb.cc/gd.php?id=dfws
东方卫视HD,http://b.dszb.cc/gd.php?id=dfhd
天津卫视,http://b.dszb.cc/gd.php?id=tjws
天津卫视HD,http://b.dszb.cc/gd.php?id=tjhd
重庆卫视,http://b.dszb.cc/gd.php?id=cqws
重庆卫视HD,http://b.dszb.cc/gd.php?id=cqhd
黑龙江卫视,http://b.dszb.cc/gd.php?id=hljws
黑龙江卫视HD,http://b.dszb.cc/gd.php?id=hljhd
吉林卫视,http://b.dszb.cc/gd.php?id=jlws
吉林卫视HD,http://b.dszb.cc/gd.php?id=jlhd
延边卫视,http://b.dszb.cc/gd.php?id=ybws
辽宁卫视,http://b.dszb.cc/gd.php?id=lnws
辽宁卫视HD,http://b.dszb.cc/gd.php?id=lnhd
内蒙古卫视,http://b.dszb.cc/gd.php?id=nmws
宁夏卫视,http://b.dszb.cc/gd.php?id=nxws
甘肃卫视,http://b.dszb.cc/gd.php?id=gsws
青海卫视,http://b.dszb.cc/gd.php?id=qhws
陕西卫视,http://b.dszb.cc/gd.php?id=sxws
河北卫视,http://b.dszb.cc/gd.php?id=hbws
河北卫视HD,http://b.dszb.cc/gd.php?id=hbhd
山西卫视,http://b.dszb.cc/gd.php?id=sxiws
山东卫视,http://b.dszb.cc/gd.php?id=sdws
山东卫视HD,http://b.dszb.cc/gd.php?id=sdhd
安徽卫视,http://b.dszb.cc/gd.php?id=ahws
安徽卫视HD,http://b.dszb.cc/gd.php?id=ahhd
河南卫视,http://b.dszb.cc/gd.php?id=hnws
湖北卫视,http://b.dszb.cc/gd.php?id=hubws
湖北卫视HD,http://b.dszb.cc/gd.php?id=hubhd
湖南卫视,http://b.dszb.cc/gd.php?id=hunws
湖南卫视HD,http://b.dszb.cc/gd.php?id=hunhd
江西卫视,http://b.dszb.cc/gd.php?id=jxws
江西卫视HD,http://b.dszb.cc/gd.php?id=jxhd
江苏卫视,http://b.dszb.cc/gd.php?id=jsws
江苏卫视HD,http://b.dszb.cc/gd.php?id=jshd
浙江卫视,http://b.dszb.cc/gd.php?id=zjws
浙江卫视HD,http://b.dszb.cc/gd.php?id=zjhd
东南卫视,http://b.dszb.cc/gd.php?id=dnws
东南卫视HD,http://b.dszb.cc/gd.php?id=dnhd
广东卫视,http://b.dszb.cc/gd.php?id=gdws
广东卫视HD,http://b.dszb.cc/gd.php?id=gdhd
深圳卫视,http://b.dszb.cc/gd.php?id=szws
深圳卫视HD,http://b.dszb.cc/gd.php?id=szhd
大湾区卫视,http://b.dszb.cc/gd.php?id=dwqws
广西卫视,http://b.dszb.cc/gd.php?id=gxws
广西卫视HD,http://b.dszb.cc/gd.php?id=gxhd
云南卫视,http://b.dszb.cc/gd.php?id=ynws
贵州卫视,http://b.dszb.cc/gd.php?id=gzws
贵州卫视HD,http://b.dszb.cc/gd.php?id=gzhd
四川卫视,http://b.dszb.cc/gd.php?id=scws
四川卫视HD,http://b.dszb.cc/gd.php?id=schd
新疆卫视,http://b.dszb.cc/gd.php?id=xjws
兵团卫视,http://b.dszb.cc/gd.php?id=btws
西藏卫视,http://b.dszb.cc/gd.php?id=xzws
海南卫视,http://b.dszb.cc/gd.php?id=hinws
海南卫视HD,http://b.dszb.cc/gd.php?id=hinhd
三沙卫视,http://b.dszb.cc/gd.php?id=ssws
卡酷少儿,http://b.dszb.cc/gd.php?id=kkse
环球奇观,http://b.dszb.cc/gd.php?id=hqqg
劲爆体育,http://b.dszb.cc/gd.php?id=jbty
劲爆体育HD,http://b.dszb.cc/gd.php?id=jbtyhd
乐游,http://b.dszb.cc/gd.php?id=ly
乐游HD,http://b.dszb.cc/gd.php?id=lyhd
东方财经,http://b.dszb.cc/gd.php?id=dfcj
法治天地,http://b.dszb.cc/gd.php?id=fztd
都市剧场,http://b.dszb.cc/gd.php?id=dsjc
动漫秀场,http://b.dszb.cc/gd.php?id=dmxc
魅力足球,http://b.dszb.cc/gd.php?id=mlzq
金色学堂,http://b.dszb.cc/gd.php?id=jsxt
哈哈炫动,http://b.dszb.cc/gd.php?id=hhxd
新视觉,http://b.dszb.cc/gd.php?id=xsj
新动漫,http://b.dszb.cc/gd.php?id=xdm
文物宝库,http://b.dszb.cc/gd.php?id=wwbk
武术世界,http://b.dszb.cc/gd.php?id=wssj
梨园频道,http://b.dszb.cc/gd.php?id=lypd
金鹰卡通,http://b.dszb.cc/gd.php?id=jykt
快乐垂钓,http://b.dszb.cc/gd.php?id=klcd
先锋乒羽,http://b.dszb.cc/gd.php?id=xfpy
优漫卡通,http://b.dszb.cc/gd.php?id=ymkt
求索生活,http://b.dszb.cc/gd.php?id=qssh
求索纪录,http://b.dszb.cc/gd.php?id=qsjl
求索科学,http://b.dszb.cc/gd.php?id=qskx
求索动物,http://b.dszb.cc/gd.php?id=qsdw

广东谷豆2👉,#genre#
梅州1,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=mz1
梅州2,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=mz2
梅州导视,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=mzds
梅县综合,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=mxzh
平远综合,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=py1
五华台.576,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=whzh
兴宁台.576,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=xnzh
潮州综合,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=czzh
潮州民生,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=czms
潮安综合,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=cazh
饶平综合,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=rpzh
汕头新闻综合,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=stxwzh
汕头新闻综合2,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=stxwzh2
汕头经济生活,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=stjjsh
汕头经济生活2,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=stjjsh2
汕头文旅体育,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=stwlty
汕头文旅体育2,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=stwlty2
揭阳综合,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=jyzh
揭阳综合HD,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=jyzhhd
揭阳生活,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=jysh
揭阳生活HD,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=jyshhd
揭东综合,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=jdzh
广东综艺4K,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=gdzy4k
G导视高清,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=gdds
翡翠台,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=fcthd
明珠台,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=1mzthd
澳视澳门,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=asam
凤凰中文.576,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=fhzw
星空卫视.576,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=xkws
澳亚卫视.576,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=ayws
广东导视,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=gdds
广东珠江,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=gdzj
广东体育,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=gdty
广东体育HD,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=gdtyhd
广东新闻,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=gdxw
广东民生,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=gdms
广东经济科教,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=gdjjkj
广东经济科教HD,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=gdjjkjhd
大湾区卫视,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=dwqws
广东影视,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=gdys
嘉佳卡通,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=jjkt
广东少儿,http://11.xmyxc.cn/api/app/8古兜Q群662465561.php?id=gdse
